city,name,total,s_year,s_month,s_day,s_quarter,s_hour,orders_count  
南投,easycard,250,2021,4,18,2,19,3
南投,linepay,118,2021,4,18,2,10,2
南投,linepay,555,2021,4,18,2,11,4
南投,linepay,36,2021,4,18,2,12,1
南投,linepay,126,2021,4,18,2,15,2
南投,linepay,157,2021,4,18,2,16,1
南投,linepay,89,2021,4,18,2,17,1
南投,linepay,133,2021,4,18,2,18,1
南投,linepay,192,2021,4,18,2,19,2
南投,linepay,172,2021,4,18,2,21,1
南投,national_credit_card,41,2021,4,18,2,14,1
南投,national_credit_card,70,2021,4,18,2,15,1
台中,Foodpanda,65,2021,4,18,2,10,1
台中,Foodpanda,196,2021,4,18,2,11,2
台中,Foodpanda,565,2021,4,18,2,12,4
台中,Foodpanda,815,2021,4,18,2,14,4
台中,Foodpanda,602,2021,4,18,2,16,4
台中,Foodpanda,217,2021,4,18,2,17,1
台中,Foodpanda,352,2021,4,18,2,18,2
台中,Foodpanda,54,2021,4,18,2,19,1
台中,Foodpanda,432,2021,4,18,2,20,3
台中,Foodpanda,108,2021,4,18,2,21,1
台中,cash,119,2021,4,18,2,9,2
台中,cash,960,2021,4,18,2,10,15
台中,cash,2328,2021,4,18,2,11,22
台中,cash,2854,2021,4,18,2,12,34
台中,cash,3000,2021,4,18,2,13,42
台中,cash,2673,2021,4,18,2,14,33
台中,cash,2442,2021,4,18,2,15,32
台中,cash,1446,2021,4,18,2,16,20
台中,cash,2261,2021,4,18,2,17,30
台中,cash,1684,2021,4,18,2,18,29
台中,cash,1611,2021,4,18,2,19,22
台中,cash,1418,2021,4,18,2,20,27
台中,cash,355,2021,4,18,2,21,7
台中,easycard,31,2021,4,18,2,9,1
台中,easycard,68,2021,4,18,2,10,1
台中,easycard,209,2021,4,18,2,11,3
台中,easycard,33,2021,4,18,2,12,1
台中,easycard,367,2021,4,18,2,13,3
台中,easycard,428,2021,4,18,2,14,6
台中,easycard,219,2021,4,18,2,15,2
台中,easycard,165,2021,4,18,2,16,2
台中,easycard,44,2021,4,18,2,17,1
台中,easycard,429,2021,4,18,2,18,5
台中,easycard,86,2021,4,18,2,19,2
台中,easycard,65,2021,4,18,2,21,1
台中,linepay,55,2021,4,18,2,10,1
台中,linepay,268,2021,4,18,2,11,4
台中,linepay,116,2021,4,18,2,12,3
台中,linepay,209,2021,4,18,2,13,3
台中,linepay,230,2021,4,18,2,14,4
台中,linepay,404,2021,4,18,2,15,6
台中,linepay,100,2021,4,18,2,16,1
台中,linepay,42,2021,4,18,2,17,1
台中,linepay,54,2021,4,18,2,18,1
台中,linepay,1148,2021,4,18,2,19,5
台中,national_credit_card,53,2021,4,18,2,10,1
台中,national_credit_card,120,2021,4,18,2,11,2
台中,national_credit_card,56,2021,4,18,2,14,1
台中,national_credit_card,123,2021,4,18,2,16,3
台中,national_credit_card,47,2021,4,18,2,17,1
台中,national_credit_card,99,2021,4,18,2,20,2
台中,cash,1007,2021,4,26,2,14,15
台中,cash,1497,2021,4,26,2,15,24
台中,cash,935,2021,4,26,2,16,15
台中,cash,1822,2021,4,26,2,17,30
台中,cash,1980,2021,4,26,2,18,34
台中,cash,2347,2021,4,26,2,19,36
台中,cash,1629,2021,4,26,2,20,26
台中,cash,789,2021,4,26,2,21,15
台中,easycard,68,2021,4,26,2,9,1
台中,easycard,198,2021,4,26,2,10,3
台中,easycard,260,2021,4,26,2,11,3
台中,easycard,242,2021,4,26,2,12,4
台中,easycard,89,2021,4,26,2,13,3
台中,easycard,49,2021,4,26,2,14,1
台中,easycard,328,2021,4,26,2,15,4
台中,easycard,94,2021,4,26,2,17,2
台中,easycard,252,2021,4,26,2,19,3
台中,easycard,33,2021,4,26,2,20,1
台中,easycard,104,2021,4,26,2,21,1
台中,linepay,113,2021,4,26,2,10,1
台中,linepay,175,2021,4,26,2,12,4
台中,linepay,124,2021,4,26,2,13,4
彰化,Foodpanda,281,2021,4,18,2,13,1
彰化,Foodpanda,343,2021,4,18,2,14,3
彰化,Foodpanda,321,2021,4,18,2,15,4
彰化,Foodpanda,109,2021,4,18,2,18,1
彰化,cash,2230,2021,4,18,2,10,26
彰化,cash,4292,2021,4,18,2,11,40
彰化,cash,4074,2021,4,18,2,12,47
彰化,cash,3559,2021,4,18,2,13,38
彰化,cash,3628,2021,4,18,2,14,35
彰化,cash,3590,2021,4,18,2,15,42
彰化,cash,3232,2021,4,18,2,16,28
彰化,cash,2030,2021,4,18,2,17,24
彰化,cash,1781,2021,4,18,2,18,24
彰化,cash,2977,2021,4,18,2,19,30
彰化,cash,2136,2021,4,18,2,20,28
彰化,cash,1418,2021,4,18,2,21,15
彰化,easycard,96,2021,4,18,2,10,2
彰化,easycard,301,2021,4,18,2,11,3
彰化,easycard,813,2021,4,18,2,12,5
